"Results of the Tasks";"";"";"";"";"";"";"";"";""
"User";"Inference (MAE)";"Inference (MAE)";"Inference (MAE)";"Model Classification (F1)";"Model Classification (F1)";"Model Classification (F1)";"Segmentation (<rank>)";"Segmentation (<rank>)";"Segmentation (<rank>)"
"stefabo";"0.156";"0.152";"0.151";"0.87";"0.884";"0.917";"0";"0";"0"
"stefabo";"0.156";"0.143";"0.139";"0.87";"0.884";"0.917";"0";"0";"0"
"stefabo";"0.156";"0.152";"0.163";"0.87";"0.884";"0.917";"0";"0";"0"
"stefabo";"0.156";"0.152";"0.151";"0.87";"0.875";"0.792";"0";"0";"0"
"stefabo";"0.156";"0.152";"100";"0.858";"0.805";"0";"0";"0";"0"
"User";"Inference (MAE)";"Inference (MAE)";"Inference (MAE)";"Model Classification (F1)";"Model Classification (F1)";"Model Classification (F1)";"Changepoint loc. prec. (RMSE)";"Changepoint loc. prec. (RMSE)";"Changepoint loc. prec. (RMSE)"
"stefabo";"0.293";"0.295";"0.291";"0.606";"0.579";"0.576";"36.763";"34.451";"32.665"
"stefabo";"0.293";"0.295";"0.291";"0.59";"0.568";"0.574";"36.763";"34.451";"32.665"
"stefabo";"0.293";"0.295";"0.291";"0.59";"0.568";"0.574";"36.763";"34.451";"32.665"
"stefabo";"0.293";"0.295";"0.291";"0.59";"0.568";"0.574";"36.763";"34.451";"32.665"
"stefabo";"0.293";"0.295";"0.291";"0.59";"0.568";"0.574";"36.763";"34.451";"32.665"
